Nom station de métro,Temps vers station suivante (min)
Bagneux - Lucie Aubrac,2
Barbara,2
Chatillon - Montrouge,2
Mairie de Montrouge,2
Porte d'Orléans,2
Alésia,2
Mouton-Duvernet,2
Denfert-Rochereau,2
Raspail,2
Vavin,2
Montparnasse - Bienvenüe,2
Notre-Dame-des-Champs,2
Saint-Placide,2
Saint-Sulpice,2
Saint-Germain-des-Prés,2
Odéon,2
Saint-Michel,2
Cité,2
Châtelet,2
Les Halles,2
Étienne Marcel,2
Réaumur - Sébastopol,2
Strasbourg - Saint-Denis,2
Château d'Eau,2
Gare de l'Est,2
Gare du Nord,2
Barbès - Rochechouart,2
Château Rouge,2
Marcadet - Poissonniers,2
Simplon,2
Porte de Clignancourt,0
